role,location,education,experience,skills_count,projects,salary_lpa
Cloud Engineer,Pune,2,3.9,5,4,16.93
Cloud Engineer,Chennai,3,0.2,17,2,14.17
ML Engineer,Chennai,2,0.6,6,3,14.48
Full Stack Developer,Remote,2,3.4,14,6,16.73
Software Engineer,Chennai,2,0.7,22,2,15.16
Cloud Engineer,Remote,2,0.8,11,4,16.03
AI Engineer,Mumbai,3,4.2,13,4,22.38
Cybersecurity Analyst,Remote,2,1.9,16,9,17.77
Backend Developer,Pune,3,1.0,11,2,12.81
Cloud Engineer,Chennai,2,1.0,19,8,18.53
Cybersecurity Analyst,Chennai,2,1.7,17,5,18.3
Full Stack Developer,Remote,3,5.4,6,5,21.84
Cloud Engineer,US Remote,4,1.2,12,3,42.63
AI Engineer,Ahmedabad,2,0.2,5,4,14.56
Frontend Developer,Chennai,3,0.5,15,0,10.36
Cybersecurity Analyst,Delhi,2,3.6,20,3,16.84
Cloud Engineer,Pune,2,1.5,18,2,16.42
Frontend Developer,Kolkata,2,2.4,17,3,11.34
Cybersecurity Analyst,Ahmedabad,4,0.0,13,2,11.95
Cloud Engineer,Bangalore,2,2.0,14,4,20.78
DevOps Engineer,Mumbai,3,1.5,23,5,18.61
Full Stack Developer,Remote,2,3.4,11,4,15.83
Data Analyst,Bangalore,2,11.8,14,6,32.98
Software Engineer,Bangalore,2,0.1,16,7,11.84
AI Engineer,Kolkata,3,1.0,15,4,18.05
Cloud Engineer,US Remote,3,1.3,16,3,32.18
Data Analyst,Remote,3,2.8,21,4,15.49
Cybersecurity Analyst,US Remote,2,5.1,24,5,41.1
AI Engineer,US Remote,2,4.5,14,4,50.84
Backend Developer,Kolkata,3,2.6,13,5,17.05
AI Engineer,Pune,2,2.7,18,3,19.43
DevOps Engineer,Bangalore,1,1.8,24,2,15.38
Cybersecurity Analyst,Bangalore,3,0.3,14,2,14.37
Data Analyst,US Remote,1,4.9,23,6,38.59
Software Engineer,Pune,3,0.3,8,7,10.8
Cloud Engineer,Remote,0,2.6,8,6,19.2
Cybersecurity Analyst,Remote,3,1.5,9,2,15.43
Cloud Engineer,Kolkata,2,4.3,23,5,23.21
AI Engineer,Mumbai,2,0.2,5,2,10.99
AI Engineer,Bangalore,2,1.4,14,2,16.04
Software Engineer,Delhi,3,0.1,22,2,14.41
Cybersecurity Analyst,Ahmedabad,2,0.7,15,1,11.64
Software Engineer,Kolkata,3,2.3,23,5,21.56
Data Analyst,Ahmedabad,2,0.9,6,4,7.75
Cybersecurity Analyst,Bangalore,3,4.2,15,8,24.21
Cybersecurity Analyst,Kolkata,1,4.5,16,4,18.33
Frontend Developer,Pune,2,5.8,9,2,19.9
Data Analyst,Pune,2,1.5,14,2,12.85
ML Engineer,Kolkata,2,2.8,11,3,15.99
Software Engineer,Ahmedabad,3,5.8,20,1,21.77
Frontend Developer,Kolkata,0,10.9,17,4,32.13
Full Stack Developer,Remote,2,0.5,15,6,13.95
DevOps Engineer,Delhi,2,0.2,11,5,11.91
AI Engineer,Chennai,2,3.5,21,2,18.38
Full Stack Developer,Bangalore,3,0.4,8,5,12.99
AI Engineer,Mumbai,3,2.9,23,4,23.34
Software Engineer,Hyderabad,2,0.7,15,5,13.04
Full Stack Developer,Chennai,2,1.3,19,5,19.01
Cloud Engineer,Kolkata,2,1.8,5,5,13.22
Software Engineer,Bangalore,2,0.5,19,4,15.04
DevOps Engineer,Chennai,2,6.7,19,10,28.08
Cybersecurity Analyst,Chennai,0,2.7,11,4,16.33
Frontend Developer,Kolkata,2,0.7,14,3,10.7
Data Analyst,Ahmedabad,2,1.8,7,3,11.78
AI Engineer,Hyderabad,0,0.5,17,3,13.76
Cybersecurity Analyst,Kolkata,2,0.1,22,3,12.27
DevOps Engineer,Hyderabad,3,6.0,11,3,24.56
Cybersecurity Analyst,Kolkata,2,7.8,14,4,18.15
DevOps Engineer,Remote,2,0.0,15,1,11.17
DevOps Engineer,Chennai,3,0.8,20,3,16.31
Data Analyst,US Remote,3,1.5,15,2,25.45
Cybersecurity Analyst,US Remote,1,0.6,20,3,35.21
Frontend Developer,Bangalore,2,0.9,22,2,12.28
AI Engineer,Remote,2,5.3,9,7,23.67
AI Engineer,Pune,3,0.4,19,3,17.01
Backend Developer,Delhi,3,3.1,14,2,18.15
Backend Developer,Ahmedabad,2,0.7,23,4,15.65
Cloud Engineer,Ahmedabad,2,1.4,9,4,12.85
Data Analyst,Kolkata,2,3.7,17,3,18.92
Backend Developer,Mumbai,3,3.2,21,1,18.05
ML Engineer,Pune,2,0.4,20,2,14.73
Backend Developer,Hyderabad,3,2.4,9,9,15.08
ML Engineer,Mumbai,2,2.6,17,7,25.27
DevOps Engineer,Mumbai,2,5.6,10,2,27.73
ML Engineer,Remote,3,1.4,20,3,21.4
Software Engineer,Ahmedabad,2,2.6,6,7,16.03
AI Engineer,Chennai,2,4.9,6,7,21.14
Cybersecurity Analyst,Remote,2,1.2,21,3,12.74
Frontend Developer,Chennai,3,2.3,5,4,13.92
Software Engineer,US Remote,2,0.7,23,1,28.83
Software Engineer,Pune,2,0.6,7,1,9.16
ML Engineer,Remote,2,3.9,23,3,24.22
Cybersecurity Analyst,Chennai,2,3.3,22,5,20.58
Frontend Developer,Remote,1,5.8,7,2,18.76
Full Stack Developer,Chennai,3,1.7,14,1,13.49
ML Engineer,Bangalore,4,7.9,21,12,30.32
Cloud Engineer,Hyderabad,1,0.7,12,1,16.97
Software Engineer,Kolkata,2,3.0,23,8,18.32
Full Stack Developer,Kolkata,2,0.4,24,2,10.67
Backend Developer,Delhi,1,1.7,6,3,13.37
Full Stack Developer,Chennai,3,4.6,20,3,19.38
DevOps Engineer,Delhi,2,2.6,21,9,22.02
ML Engineer,US Remote,2,2.1,17,1,36.9
Data Analyst,Kolkata,2,2.4,10,1,10.15
Cybersecurity Analyst,Remote,3,7.1,24,4,26.85
Data Analyst,Mumbai,1,2.2,10,3,11.61
ML Engineer,Delhi,2,2.9,15,5,19.85
DevOps Engineer,US Remote,4,0.9,18,5,39.26
ML Engineer,Kolkata,2,1.8,15,7,13.54
Data Analyst,Ahmedabad,2,1.9,7,7,13.8
Cybersecurity Analyst,US Remote,2,0.3,21,4,30.04
Software Engineer,Hyderabad,3,1.7,16,2,17.07
Data Analyst,US Remote,3,0.7,12,1,23.15
Data Analyst,Remote,1,0.9,23,2,10.76
AI Engineer,US Remote,2,2.3,20,0,48.39
ML Engineer,Kolkata,2,5.1,5,3,20.19
Cloud Engineer,Mumbai,1,15.9,10,6,39.65
Full Stack Developer,Delhi,2,1.1,9,4,13.49
Data Analyst,Hyderabad,2,2.3,14,2,17.23
Cybersecurity Analyst,Chennai,2,6.4,8,6,25.01
Cybersecurity Analyst,Mumbai,3,0.1,16,4,9.87
Software Engineer,US Remote,0,7.1,13,6,37.7
ML Engineer,Chennai,2,1.0,15,4,13.75
AI Engineer,Remote,2,3.9,12,3,21.66
AI Engineer,Ahmedabad,2,1.9,9,7,17.93
AI Engineer,Hyderabad,3,5.9,11,5,34.43
AI Engineer,Ahmedabad,2,0.3,17,3,15.05
Backend Developer,Pune,2,3.6,5,4,15.92
ML Engineer,Mumbai,0,4.5,20,3,17.63
Cybersecurity Analyst,Ahmedabad,2,0.3,15,3,11.81
Full Stack Developer,Pune,0,3.1,8,4,14.25
AI Engineer,Remote,2,0.7,13,0,15.14
Cloud Engineer,US Remote,1,0.4,5,5,35.56
Frontend Developer,Mumbai,2,2.8,12,8,17.36
Frontend Developer,US Remote,0,1.5,24,1,30.29
DevOps Engineer,Chennai,2,1.8,13,2,13.26
Data Analyst,Mumbai,2,3.6,22,4,16.33
Backend Developer,Mumbai,2,0.8,16,5,11.2
Cloud Engineer,Ahmedabad,1,0.0,14,4,11.98
Software Engineer,Remote,3,1.7,20,4,15.3
Cybersecurity Analyst,Chennai,2,7.1,12,7,24.22
ML Engineer,Chennai,2,1.6,12,4,15.71
Cloud Engineer,Mumbai,2,0.5,16,6,13.82
Frontend Developer,US Remote,2,2.9,10,6,21.87
DevOps Engineer,Kolkata,2,4.3,16,3,17.25
Full Stack Developer,Pune,2,0.4,18,4,14.4
AI Engineer,Remote,3,4.1,23,1,21.27
Cybersecurity Analyst,Hyderabad,2,0.8,23,1,12.62
Cloud Engineer,Bangalore,2,2.2,12,7,17.66
Cybersecurity Analyst,US Remote,3,0.5,23,3,30.64
DevOps Engineer,Delhi,1,0.2,14,4,15.18
AI Engineer,Chennai,3,6.0,20,1,30.05
AI Engineer,Chennai,2,0.8,7,3,17.0
Software Engineer,Mumbai,2,4.5,21,2,19.42
Data Analyst,Chennai,3,0.7,20,2,10.82
Cybersecurity Analyst,Pune,2,0.3,10,6,13.21
Data Analyst,Ahmedabad,4,7.3,11,5,20.62
Full Stack Developer,Kolkata,2,1.9,24,4,15.09
Backend Developer,Ahmedabad,3,1.8,5,3,11.26
Data Analyst,Mumbai,1,1.0,13,3,7.92
Frontend Developer,US Remote,2,0.9,18,3,23.36
ML Engineer,Kolkata,1,0.6,8,2,10.37
Cloud Engineer,Pune,3,2.8,17,6,20.66
AI Engineer,Delhi,0,6.7,20,9,29.91
Data Analyst,Kolkata,3,0.4,20,0,12.57
Full Stack Developer,Ahmedabad,3,1.4,24,7,16.69
AI Engineer,Remote,2,3.7,17,2,22.19
AI Engineer,Remote,3,3.6,16,5,23.57
Cybersecurity Analyst,Bangalore,3,0.6,15,3,13.69
ML Engineer,Hyderabad,1,0.7,11,7,15.69
Full Stack Developer,Hyderabad,3,2.1,14,4,14.08
DevOps Engineer,Chennai,3,4.0,24,1,21.37
Cloud Engineer,Mumbai,2,0.9,20,5,14.97
AI Engineer,Mumbai,2,0.5,13,0,10.83
Software Engineer,Bangalore,2,3.6,11,5,16.08
Cloud Engineer,Delhi,2,0.4,14,2,15.21
Frontend Developer,Hyderabad,4,2.9,12,1,17.73
Full Stack Developer,Mumbai,2,0.1,13,1,12.09
ML Engineer,Ahmedabad,3,2.0,20,3,20.76
Cybersecurity Analyst,Hyderabad,3,1.2,13,2,13.64
ML Engineer,Delhi,3,0.1,5,3,12.42
Backend Developer,Chennai,3,5.2,19,6,19.41
Data Analyst,Remote,2,3.3,21,3,16.82
Frontend Developer,Chennai,2,1.2,8,3,12.87
ML Engineer,Pune,3,2.7,5,4,18.8
Cybersecurity Analyst,Hyderabad,3,0.9,17,1,15.02
Cybersecurity Analyst,US Remote,2,2.8,22,3,24.87
AI Engineer,Remote,3,2.5,11,4,19.27
Cybersecurity Analyst,Bangalore,2,2.3,21,3,13.57
Full Stack Developer,US Remote,2,0.2,15,4,27.87
Backend Developer,Kolkata,1,4.5,18,3,16.99
Data Analyst,Bangalore,2,2.8,22,4,18.67
Software Engineer,Pune,2,1.2,12,1,12.39
DevOps Engineer,Pune,2,3.3,17,9,22.25
AI Engineer,Chennai,1,0.2,10,3,17.74
Backend Developer,Remote,2,4.8,15,3,17.42
Software Engineer,Pune,3,0.1,23,4,14.28
DevOps Engineer,Hyderabad,3,0.4,7,3,15.97
Frontend Developer,Bangalore,2,0.1,21,5,13.34
Backend Developer,Pune,3,5.6,24,10,24.34
Backend Developer,Pune,3,3.5,17,3,17.39
Cybersecurity Analyst,Remote,3,0.4,17,4,16.3
Full Stack Developer,Kolkata,2,0.2,13,1,9.67
DevOps Engineer,Bangalore,2,0.1,10,4,14.44
Cybersecurity Analyst,Ahmedabad,2,1.1,11,5,10.68
ML Engineer,Pune,2,1.3,22,2,16.61
AI Engineer,Ahmedabad,2,1.5,10,3,15.23
Backend Developer,Pune,2,1.8,24,3,14.34
Software Engineer,Bangalore,2,1.4,10,1,15.28
Data Analyst,Pune,4,4.5,16,5,17.89
DevOps Engineer,US Remote,3,1.8,21,5,41.87
Full Stack Developer,Mumbai,2,0.2,20,3,13.32
AI Engineer,Kolkata,2,3.1,14,5,20.47
AI Engineer,Bangalore,2,0.2,8,3,15.97
Data Analyst,Kolkata,3,2.4,16,4,13.37
DevOps Engineer,Kolkata,2,1.6,13,5,18.37
Cloud Engineer,Chennai,2,0.0,6,1,10.78
Full Stack Developer,Delhi,2,2.8,6,6,17.23
AI Engineer,Mumbai,4,2.4,16,2,24.71
Cybersecurity Analyst,Mumbai,1,0.6,15,3,11.46
Backend Developer,Remote,0,0.5,20,2,9.95
AI Engineer,Kolkata,1,1.1,23,2,15.41
DevOps Engineer,Hyderabad,2,1.3,7,4,17.18
AI Engineer,Delhi,2,3.5,11,4,15.78
ML Engineer,Kolkata,2,0.3,11,5,14.87
Frontend Developer,Mumbai,2,2.4,15,2,17.18
Data Analyst,Ahmedabad,2,1.2,15,0,12.04
Data Analyst,Kolkata,2,1.6,6,3,12.82
Cybersecurity Analyst,Mumbai,3,0.1,11,2,10.95
Full Stack Developer,Hyderabad,2,1.2,9,5,14.39
Frontend Developer,US Remote,2,10.3,21,7,50.74
ML Engineer,Kolkata,3,6.9,8,9,27.78
Cloud Engineer,Pune,2,0.3,17,3,13.66
Software Engineer,Mumbai,2,9.0,24,6,36.04
Frontend Developer,Mumbai,2,1.3,8,3,10.23
Backend Developer,Pune,2,3.9,16,3,18.83
Full Stack Developer,Bangalore,2,2.9,9,3,15.51
DevOps Engineer,Remote,2,0.4,13,4,14.19
Backend Developer,Chennai,1,1.3,20,4,15.22
Backend Developer,Remote,3,0.0,21,3,12.36
AI Engineer,Ahmedabad,4,5.1,20,3,24.03
Backend Developer,Ahmedabad,3,3.6,19,6,18.49
ML Engineer,Mumbai,2,3.7,20,5,22.81
Data Analyst,Chennai,2,1.8,13,1,12.2
Frontend Developer,Mumbai,1,0.1,20,2,11.17
Cloud Engineer,Bangalore,2,1.9,21,4,17.64
DevOps Engineer,Mumbai,0,0.6,8,6,14.32
Software Engineer,Pune,2,0.8,8,0,10.6
AI Engineer,Chennai,1,0.4,17,2,19.3
ML Engineer,Bangalore,4,6.7,15,8,25.71
Backend Developer,Bangalore,4,3.8,18,7,23.26
ML Engineer,US Remote,0,2.2,24,3,35.9
Backend Developer,Remote,3,8.1,15,2,28.07
ML Engineer,Pune,2,6.3,17,7,30.41
Full Stack Developer,Chennai,2,0.8,12,3,11.67
Cloud Engineer,Chennai,2,1.4,7,6,11.9
Full Stack Developer,Kolkata,3,0.4,9,8,14.37
Frontend Developer,Ahmedabad,2,0.9,22,3,14.9
Software Engineer,Chennai,4,3.7,5,1,15.99
Backend Developer,Hyderabad,0,1.6,18,4,13.59
Cloud Engineer,Pune,2,0.1,9,3,9.45
AI Engineer,Ahmedabad,2,7.4,9,3,28.14
DevOps Engineer,Mumbai,2,0.7,8,1,13.81
Backend Developer,Hyderabad,2,0.9,17,1,11.75
ML Engineer,Bangalore,2,1.3,23,6,19.02
DevOps Engineer,Pune,2,1.7,11,2,15.66
Full Stack Developer,Mumbai,2,1.4,20,4,16.87
Cloud Engineer,Chennai,3,0.6,23,4,16.78
Cybersecurity Analyst,US Remote,2,1.2,6,2,28.17
DevOps Engineer,Delhi,3,0.8,23,3,14.01
AI Engineer,Chennai,4,6.8,19,5,28.03
Full Stack Developer,Kolkata,2,0.3,22,3,11.75
DevOps Engineer,Bangalore,1,3.0,23,2,20.92
DevOps Engineer,Ahmedabad,3,5.6,19,2,20.16
Software Engineer,Remote,2,3.3,7,9,15.85
Backend Developer,Kolkata,2,0.3,15,4,11.05
Backend Developer,Remote,2,0.6,22,3,11.15
Cloud Engineer,Kolkata,2,5.7,22,5,25.91
Software Engineer,Ahmedabad,2,1.6,24,2,14.21
Software Engineer,Bangalore,1,1.8,15,1,10.15
Software Engineer,Delhi,2,0.7,18,1,15.82
Cloud Engineer,Delhi,2,2.8,6,1,16.06
Cybersecurity Analyst,Ahmedabad,2,1.4,8,4,13.16
Cloud Engineer,Delhi,2,0.0,23,5,15.38
AI Engineer,Mumbai,1,3.8,22,7,26.34
Software Engineer,Ahmedabad,2,1.8,24,3,13.03
AI Engineer,US Remote,2,0.2,23,2,41.89
Backend Developer,Mumbai,0,1.2,13,2,9.38
Frontend Developer,Delhi,2,3.9,9,1,17.45
Full Stack Developer,Chennai,3,1.0,10,3,13.49
Backend Developer,Bangalore,2,6.4,19,2,25.35
Data Analyst,US Remote,3,0.5,8,4,26.42
Software Engineer,Kolkata,3,1.1,15,7,11.54
ML Engineer,Mumbai,3,7.2,17,7,29.69
Frontend Developer,Mumbai,3,0.7,14,1,13.86
DevOps Engineer,Bangalore,2,0.0,7,3,15.4
Cloud Engineer,Hyderabad,2,0.5,11,6,15.11
Frontend Developer,Remote,3,0.1,21,4,13.41
Cloud Engineer,Remote,2,1.6,10,6,16.5
DevOps Engineer,Mumbai,3,5.8,12,2,23.41
Software Engineer,Hyderabad,2,0.3,6,2,8.26
Software Engineer,Hyderabad,2,3.5,14,3,15.52
Cybersecurity Analyst,Pune,2,4.6,22,6,20.39
DevOps Engineer,Ahmedabad,1,2.3,15,2,18.37
Software Engineer,Chennai,3,2.1,6,5,16.06
Full Stack Developer,Delhi,1,3.0,21,2,15.74
AI Engineer,Mumbai,1,0.9,5,2,14.93
Frontend Developer,Mumbai,2,3.8,19,1,18.77
Full Stack Developer,Ahmedabad,2,2.2,5,4,15.71
Backend Developer,Chennai,2,2.6,15,2,15.17
Software Engineer,Delhi,2,7.0,24,6,30.26
Data Analyst,Ahmedabad,3,1.0,10,2,12.55
ML Engineer,Kolkata,3,1.2,14,4,17.13
ML Engineer,Hyderabad,2,3.4,9,6,15.81
Frontend Developer,Delhi,2,4.2,6,7,15.58
AI Engineer,Hyderabad,2,2.0,23,3,22.34
Full Stack Developer,Delhi,1,2.8,7,4,16.6
AI Engineer,Hyderabad,3,11.1,11,11,36.26
Cybersecurity Analyst,Hyderabad,4,0.1,22,2,14.31
DevOps Engineer,US Remote,3,5.7,21,5,50.82
Backend Developer,Chennai,3,9.1,6,12,30.97
Data Analyst,Chennai,3,1.4,9,1,11.98
ML Engineer,Pune,2,5.0,18,4,25.15
Cybersecurity Analyst,Remote,2,3.1,22,4,13.99
Cybersecurity Analyst,Bangalore,2,0.0,14,2,14.64
ML Engineer,Hyderabad,3,0.3,6,1,12.37
Cybersecurity Analyst,Chennai,2,0.3,24,3,13.36
DevOps Engineer,Hyderabad,1,1.1,7,2,13.15
Backend Developer,Bangalore,2,1.1,14,4,11.9
Software Engineer,Kolkata,2,1.4,12,2,13.7
AI Engineer,Bangalore,2,1.1,15,3,21.53
Software Engineer,Bangalore,3,0.4,13,6,12.97
Software Engineer,Remote,2,0.7,8,6,12.58
Backend Developer,Kolkata,3,1.8,15,2,14.15
Backend Developer,US Remote,3,0.7,13,4,33.44
Backend Developer,Delhi,2,5.0,20,6,22.53
DevOps Engineer,Ahmedabad,1,2.0,22,5,13.05
ML Engineer,Pune,1,0.4,10,2,12.99
Backend Developer,Hyderabad,2,0.1,12,4,12.96
Data Analyst,Bangalore,2,0.8,8,3,11.57
DevOps Engineer,Bangalore,2,1.5,23,6,18.41
Cloud Engineer,Ahmedabad,0,3.6,18,2,16.8
Software Engineer,Hyderabad,1,2.2,6,0,10.63
Backend Developer,Kolkata,2,3.1,15,2,16.89
AI Engineer,Pune,2,0.3,22,1,17.75
DevOps Engineer,Bangalore,1,0.1,8,2,14.19
Full Stack Developer,Mumbai,2,0.3,22,5,13.17
AI Engineer,Pune,3,4.2,16,3,17.42
AI Engineer,Hyderabad,2,5.4,12,4,26.74
Data Analyst,Mumbai,3,1.6,18,3,17.05
Cloud Engineer,Remote,2,0.1,9,3,17.93
Frontend Developer,US Remote,2,5.4,19,6,27.0
Software Engineer,Chennai,2,1.9,8,6,12.22
Cloud Engineer,US Remote,0,2.1,11,4,35.52
Frontend Developer,Ahmedabad,3,7.5,10,4,22.4
DevOps Engineer,Kolkata,2,0.5,15,2,15.75
AI Engineer,Bangalore,2,0.3,5,2,17.33
Cybersecurity Analyst,Remote,3,2.2,24,4,18.29
Software Engineer,Remote,0,0.5,12,3,9.16
DevOps Engineer,Chennai,2,0.6,21,3,14.71
Software Engineer,Kolkata,2,0.1,11,5,7.94
Frontend Developer,Pune,2,4.3,6,4,14.13
Cloud Engineer,US Remote,2,0.1,13,6,31.6
Data Analyst,Bangalore,2,2.0,8,4,14.79
Software Engineer,Bangalore,3,5.1,15,4,20.28
Cloud Engineer,US Remote,3,10.6,11,4,57.01
Software Engineer,Mumbai,3,1.9,15,5,12.98
Cybersecurity Analyst,Remote,2,1.4,8,4,13.23
Cybersecurity Analyst,Kolkata,3,2.3,14,3,15.19
Cloud Engineer,Kolkata,2,0.1,23,2,13.91
Backend Developer,Pune,3,1.3,23,1,14.12
Data Analyst,Bangalore,2,1.5,5,7,12.65
Frontend Developer,Remote,2,0.3,20,3,12.57
AI Engineer,Ahmedabad,3,7.0,8,5,25.05
Software Engineer,US Remote,2,0.9,15,4,24.91
AI Engineer,Delhi,2,0.5,17,5,15.86
Cybersecurity Analyst,Hyderabad,2,6.3,14,5,33.35
Cloud Engineer,Kolkata,2,0.9,20,2,14.87
Data Analyst,Kolkata,2,4.3,17,8,20.76
DevOps Engineer,Delhi,2,3.7,12,4,16.81
Data Analyst,Delhi,3,0.5,23,5,13.73
Cloud Engineer,Mumbai,2,0.2,10,4,12.67
Data Analyst,Delhi,2,0.2,18,3,11.33
AI Engineer,Remote,3,1.1,9,4,18.42
Data Analyst,Chennai,3,3.5,11,2,18.05
ML Engineer,Mumbai,2,5.1,20,6,25.63
DevOps Engineer,Ahmedabad,1,0.4,14,6,12.89
Cybersecurity Analyst,US Remote,1,2.8,21,5,39.76
ML Engineer,Kolkata,3,8.0,14,6,26.05
Frontend Developer,Chennai,3,0.9,13,0,10.13
Cloud Engineer,Pune,3,1.0,15,6,19.28
Cloud Engineer,US Remote,3,0.1,9,2,33.39
ML Engineer,Mumbai,3,2.0,5,4,16.67
Backend Developer,Remote,1,3.2,14,5,16.76
Cloud Engineer,Chennai,2,1.2,20,4,12.36
ML Engineer,Delhi,3,0.4,23,3,18.04
Data Analyst,Delhi,3,0.3,6,1,7.88
Data Analyst,US Remote,3,1.9,19,3,28.29
DevOps Engineer,Hyderabad,2,1.2,24,7,18.32
Cybersecurity Analyst,Pune,2,4.3,11,4,20.78
Data Analyst,Delhi,3,0.3,20,1,10.41
AI Engineer,Hyderabad,2,3.8,10,4,21.31
Full Stack Developer,Hyderabad,3,1.6,16,2,16.86
AI Engineer,Chennai,3,2.6,16,3,20.21
Backend Developer,US Remote,2,2.6,8,6,35.95
ML Engineer,Pune,0,1.7,13,3,15.91
Full Stack Developer,Chennai,2,3.9,23,4,18.62
Software Engineer,Chennai,2,9.6,15,5,27.1
Frontend Developer,Remote,2,1.9,6,1,12.18
Full Stack Developer,Delhi,3,0.2,5,4,14.82
Data Analyst,US Remote,4,0.6,24,2,29.41
Cloud Engineer,Mumbai,2,0.5,11,6,14.19
AI Engineer,Chennai,2,0.6,14,1,16.97
Data Analyst,Remote,2,5.0,13,3,16.52
DevOps Engineer,Bangalore,3,1.6,24,1,17.77
Data Analyst,US Remote,2,0.3,8,6,19.35
AI Engineer,Bangalore,2,2.1,18,4,22.25
AI Engineer,Ahmedabad,2,1.1,6,3,13.93
Backend Developer,Ahmedabad,3,2.4,9,7,14.54
Backend Developer,US Remote,2,2.3,6,4,32.2
ML Engineer,Bangalore,2,1.3,20,4,20.53
ML Engineer,Bangalore,3,0.6,22,4,19.84
Software Engineer,Remote,3,0.8,6,3,10.79
Cybersecurity Analyst,Mumbai,4,0.3,13,1,15.14
Cloud Engineer,Pune,1,3.1,9,6,20.47
Software Engineer,US Remote,0,4.7,8,6,34.97
Full Stack Developer,Ahmedabad,1,0.3,12,4,12.38
ML Engineer,Mumbai,3,4.5,18,6,20.33
Full Stack Developer,Bangalore,2,1.6,7,4,15.89
Frontend Developer,Remote,2,0.4,6,1,10.1
DevOps Engineer,Bangalore,2,0.3,18,3,12.58
Full Stack Developer,Delhi,4,3.2,13,4,18.15
Full Stack Developer,Bangalore,1,0.1,12,2,10.76
ML Engineer,Kolkata,2,3.2,16,1,18.91
AI Engineer,Remote,2,4.8,6,5,20.08
Full Stack Developer,Chennai,2,5.9,15,6,22.65
ML Engineer,Delhi,2,1.7,5,2,15.53
Cybersecurity Analyst,Kolkata,4,0.7,20,5,13.78
Frontend Developer,Mumbai,1,3.5,19,4,14.69
AI Engineer,Chennai,2,8.8,18,3,29.64
Frontend Developer,Pune,2,2.8,16,6,18.92
Data Analyst,Pune,4,0.7,17,1,10.94
Backend Developer,Hyderabad,2,7.3,24,6,26.39
Backend Developer,US Remote,3,3.8,11,1,36.02
Full Stack Developer,Pune,2,3.4,24,2,19.04
Cybersecurity Analyst,Kolkata,3,0.3,12,3,11.48
DevOps Engineer,Remote,3,1.1,12,4,18.61
AI Engineer,Ahmedabad,3,6.3,14,3,23.11
AI Engineer,Bangalore,0,2.2,12,5,19.25
Software Engineer,Kolkata,3,2.7,18,1,14.68
DevOps Engineer,Hyderabad,2,7.6,19,6,25.79
Cybersecurity Analyst,Mumbai,2,15.0,10,9,35.32
Cloud Engineer,Delhi,0,1.7,8,4,16.04
Software Engineer,Delhi,2,0.9,7,5,15.87
Full Stack Developer,Kolkata,0,6.3,17,10,28.37
ML Engineer,Chennai,4,1.8,8,4,19.02
DevOps Engineer,Pune,3,0.1,8,3,13.98
Cloud Engineer,Chennai,1,1.1,23,4,17.92
Cloud Engineer,Delhi,2,0.4,23,4,14.64
ML Engineer,Kolkata,3,15.7,16,7,44.37
Data Analyst,US Remote,2,2.3,15,3,24.15
Backend Developer,Kolkata,2,1.3,17,4,11.51
Data Analyst,Bangalore,2,2.5,24,3,18.94
Data Analyst,Chennai,4,4.3,22,3,16.31
ML Engineer,Ahmedabad,2,1.2,6,5,11.47
Backend Developer,Mumbai,2,0.5,24,5,14.18
Cybersecurity Analyst,Chennai,3,0.7,11,2,12.03
ML Engineer,Ahmedabad,3,0.1,24,0,16.48
AI Engineer,Delhi,3,1.1,21,1,18.41
Full Stack Developer,Chennai,2,1.7,18,4,15.09
Data Analyst,Hyderabad,2,2.5,9,2,12.05
Software Engineer,US Remote,3,0.2,9,4,31.59
Full Stack Developer,Hyderabad,0,0.5,23,1,13.67
Data Analyst,Pune,1,0.9,23,3,12.64
Data Analyst,Hyderabad,2,0.4,21,1,13.45
Cybersecurity Analyst,Pune,0,0.5,20,2,11.58
Full Stack Developer,Remote,3,2.2,5,2,17.8
AI Engineer,Ahmedabad,3,0.4,24,7,20.07
DevOps Engineer,Remote,0,5.5,22,4,22.47
ML Engineer,Delhi,2,3.1,23,3,24.11
Software Engineer,Hyderabad,2,1.1,12,3,13.95
Data Analyst,Bangalore,2,2.8,7,2,14.59
Backend Developer,Hyderabad,2,4.1,6,5,18.88
Cloud Engineer,Ahmedabad,2,2.1,19,2,14.72
DevOps Engineer,Bangalore,3,1.9,10,4,16.65
Frontend Developer,US Remote,0,3.4,24,3,31.13
Data Analyst,Hyderabad,2,8.4,14,10,22.05
Full Stack Developer,Hyderabad,1,3.2,24,6,22.16
Cybersecurity Analyst,Ahmedabad,3,2.7,7,5,15.47
Software Engineer,Pune,4,1.4,5,3,11.53
Backend Developer,Chennai,1,0.8,7,8,9.15
AI Engineer,Delhi,1,1.4,12,4,18.71
Cybersecurity Analyst,Kolkata,2,4.5,22,9,23.48
Frontend Developer,Mumbai,2,2.5,20,4,13.86
Frontend Developer,Hyderabad,3,3.4,23,4,19.06
AI Engineer,Delhi,4,0.4,14,4,18.74
Full Stack Developer,Mumbai,2,3.7,7,2,14.17
Frontend Developer,Chennai,2,1.1,13,4,12.76
Full Stack Developer,Chennai,1,3.0,20,4,17.54
Frontend Developer,Hyderabad,3,4.0,16,2,13.75
ML Engineer,Chennai,3,0.7,11,6,14.43
ML Engineer,Bangalore,2,0.9,20,6,18.7
ML Engineer,Pune,2,0.5,14,2,15.63
