education,cgpa,experience,projects,internships,skills_count,frontend_skills,backend_skills,database_skills,cloud_skills,ml_skills,certifications,has_github,has_linkedin,resume_score,readiness_level
2,8.61,2.3,4,1,9,4,0,2,1,0,2,0,1,85.6,2
4,8.06,0.4,1,1,12,2,3,2,2,2,4,0,1,67.3,2
2,9.15,5.9,7,0,19,3,6,4,2,0,3,1,1,93.6,3
3,8.9,7.5,2,1,16,8,2,2,0,0,3,1,1,90.5,3
4,9.2,12.0,4,1,14,2,4,3,3,1,1,1,1,98.0,3
2,6.55,3.2,3,0,14,3,3,2,2,1,1,1,1,76.4,3
1,7.52,4.5,4,0,14,3,3,2,1,2,1,1,0,97.4,3
2,8.93,3.3,5,2,13,1,1,1,7,1,1,1,1,73.0,3
4,8.91,1.6,3,2,14,0,2,3,1,5,5,1,0,68.9,3
3,8.11,9.6,2,3,18,3,7,3,3,1,1,1,0,98.0,3
2,8.19,0.4,1,2,15,4,3,2,1,1,1,1,0,69.5,2
2,8.26,2.2,1,1,14,0,1,3,1,7,2,0,1,98.0,2
2,8.74,3.5,1,2,18,2,7,4,1,1,1,1,0,96.8,3
3,9.18,1.2,2,4,12,3,2,2,2,2,4,0,1,63.1,2
2,9.17,4.2,2,1,13,4,2,1,1,1,3,0,1,64.6,3
2,9.49,6.2,1,0,15,9,1,1,0,0,2,1,1,79.3,3
2,6.64,2.5,3,1,6,4,0,1,0,0,2,1,1,79.9,2
2,7.37,1.4,2,1,14,1,7,4,1,0,1,1,1,65.0,2
1,8.41,2.9,3,1,11,4,1,1,1,0,3,0,1,73.2,3
2,7.99,0.7,2,2,18,5,4,3,2,0,1,1,1,87.9,2
2,7.18,10.2,5,1,11,2,2,1,2,1,1,1,0,97.5,3
2,9.19,0.4,3,1,10,2,3,1,2,1,1,1,1,75.4,2
2,8.38,1.8,2,2,16,4,3,2,1,2,1,1,1,77.3,2
2,8.44,1.8,3,0,13,0,2,2,6,0,0,1,1,73.1,1
2,8.35,0.7,3,2,13,2,3,1,1,2,3,1,1,65.7,2
3,7.91,0.1,1,4,10,0,1,1,5,1,2,1,1,61.1,2
3,7.63,5.1,6,1,13,3,4,2,2,0,0,1,0,96.7,3
2,10.0,1.9,3,1,12,7,2,1,0,0,3,0,0,75.1,3
3,8.94,3.3,2,1,13,4,3,2,1,1,2,1,0,81.4,2
2,9.3,3.7,1,2,16,4,3,2,2,1,1,0,1,86.9,3
2,8.03,0.1,2,0,8,4,0,2,0,0,1,0,1,67.8,1
2,9.44,0.8,0,4,13,3,3,2,2,2,4,0,1,60.5,3
2,7.95,0.6,2,0,16,6,4,2,2,1,0,1,0,97.9,2
0,7.77,1.8,2,1,16,6,4,2,2,0,1,1,0,83.5,2
2,9.12,3.0,3,0,12,0,3,1,4,0,2,1,0,80.9,2
1,9.87,2.2,3,1,14,4,2,1,2,2,1,1,1,80.9,2
2,6.45,0.3,2,5,14,1,2,4,1,4,4,0,1,65.2,3
2,9.27,6.7,2,1,14,2,3,2,2,1,1,1,1,75.8,3
2,8.08,1.9,2,1,13,4,3,1,2,2,2,1,0,83.7,2
2,8.62,0.9,1,1,11,1,2,1,6,0,6,1,1,66.0,2
0,6.92,2.7,4,2,12,4,1,2,1,0,0,0,1,69.5,2
1,6.24,4.5,4,1,19,6,4,2,2,1,1,1,0,84.3,3
4,8.88,4.3,4,2,12,1,5,2,1,1,1,0,1,72.5,2
3,6.8,1.7,3,3,10,2,2,1,2,1,3,1,1,67.2,2
2,9.47,2.0,3,1,17,6,5,3,1,0,1,0,1,94.9,3
3,7.16,2.1,2,2,15,3,5,2,2,1,3,1,1,84.5,2
3,9.22,0.9,1,1,16,1,2,3,1,5,3,0,1,98.0,2
2,8.11,0.4,2,2,14,4,4,3,1,0,0,0,1,80.0,2
2,8.29,1.6,4,0,10,6,0,2,1,0,1,1,1,63.9,2
3,8.5,0.8,3,0,18,6,5,2,2,1,4,1,1,74.9,2
2,8.27,0.3,5,1,11,6,0,1,0,0,2,0,1,70.2,2
2,5.34,0.6,2,3,17,0,2,4,2,7,1,1,0,83.1,3
2,6.34,2.1,3,0,15,3,4,3,2,1,1,1,1,86.6,3
4,9.57,1.8,2,2,13,3,3,1,1,2,4,0,1,68.4,2
0,7.21,0.2,4,1,12,7,2,1,1,0,2,1,1,70.4,2
0,7.65,0.2,3,0,13,3,3,2,2,1,0,1,1,66.3,2
2,9.02,4.9,3,1,18,1,1,4,1,8,0,1,1,98.0,3
2,8.17,2.0,2,1,14,1,2,3,1,6,0,1,0,84.2,2
2,8.11,1.5,1,2,17,1,2,2,2,6,1,1,1,60.1,3
3,8.92,1.7,0,1,15,5,5,2,2,0,1,1,1,77.1,1
2,8.76,1.6,3,1,18,6,3,3,1,1,2,0,0,73.7,2
2,6.3,3.9,4,1,10,3,2,1,1,1,1,1,0,76.3,3
3,9.83,3.1,2,4,15,1,5,2,3,1,3,1,1,85.2,3
1,6.96,0.2,2,1,9,0,2,1,5,0,0,1,1,60.6,1
4,10.0,6.1,6,2,12,2,2,2,2,1,4,1,1,79.8,3
1,6.71,2.7,8,2,14,5,3,3,1,0,5,1,1,69.0,3
2,8.67,0.9,1,0,9,2,3,1,1,1,1,0,1,40.3,1
3,6.76,5.3,7,1,14,3,3,2,2,1,2,1,1,95.1,3
4,8.2,1.3,1,2,14,3,4,2,1,0,3,1,0,76.1,2
2,5.59,4.9,2,0,12,2,3,2,1,2,1,0,1,78.1,3
2,8.17,1.3,3,1,15,1,2,2,6,0,0,0,0,69.2,2
2,8.69,4.3,1,1,15,1,1,3,2,7,2,1,1,75.9,3
2,8.26,0.3,1,2,16,1,1,3,2,6,1,0,1,79.4,2
3,7.95,2.2,1,1,13,4,2,1,1,1,4,0,1,74.4,2
2,7.57,5.2,2,2,16,1,6,3,3,0,1,1,1,85.9,2
3,10.0,1.2,1,3,12,1,1,1,6,0,1,1,1,86.8,2
3,8.03,0.7,1,2,13,1,1,4,1,4,1,0,1,64.2,1
2,7.28,0.6,0,0,13,9,0,1,1,0,0,0,1,66.4,1
3,6.8,12.4,4,1,12,2,3,1,2,2,5,1,1,98.0,3
2,6.72,1.0,5,1,14,1,3,2,6,1,1,0,0,59.1,2
2,8.37,11.7,7,1,15,7,2,2,1,0,2,1,1,98.0,3
3,7.54,1.2,3,1,19,4,5,3,2,1,0,0,1,75.2,2
2,7.17,0.1,1,1,17,9,2,1,1,0,0,0,1,71.0,1
0,6.02,0.7,2,0,14,3,3,3,2,1,0,0,1,64.1,2
3,7.31,6.2,6,2,11,0,1,2,6,1,0,1,1,69.4,3
2,5.86,5.9,2,1,17,4,5,3,2,1,3,1,1,80.9,3
2,7.11,1.5,2,4,13,6,2,2,0,0,1,0,1,78.9,3
3,8.73,0.2,0,1,15,4,5,2,1,1,1,1,0,86.6,2
2,8.61,0.5,0,2,12,0,2,3,1,4,5,1,1,73.4,2
1,8.23,0.8,1,2,11,6,1,1,1,0,0,0,1,76.1,1
2,10.0,4.0,2,0,19,1,2,4,2,6,2,0,1,73.2,3
1,9.06,0.2,3,2,16,2,5,2,2,1,1,1,1,70.1,2
2,7.96,6.8,1,2,16,8,2,2,0,0,0,1,1,98.0,3
3,8.62,11.4,4,2,14,8,2,2,1,0,1,1,1,98.0,3
2,7.06,0.6,2,2,13,2,3,2,2,2,1,1,1,76.3,2
2,8.07,1.6,1,0,18,2,7,3,2,1,2,1,0,89.4,2
2,7.99,0.3,4,2,13,4,3,1,2,1,4,1,1,66.9,3
0,7.39,1.1,2,0,17,5,3,2,2,1,1,1,1,86.4,2
4,10.0,4.0,5,4,10,2,2,2,1,2,2,0,1,71.9,3
2,10.0,0.6,1,2,11,1,4,2,1,0,1,1,1,54.7,2
2,6.93,0.4,3,0,14,3,3,2,2,2,2,0,1,75.2,2
2,8.05,0.2,0,2,15,3,3,1,2,2,2,1,1,74.0,3
4,7.7,1.1,2,0,16,4,2,2,2,2,3,1,1,56.6,3
1,10.0,1.7,3,2,14,5,3,2,1,1,1,0,1,90.8,2
2,8.0,1.5,4,2,11,2,4,2,2,0,3,0,0,70.2,2
2,7.8,0.6,3,2,18,3,5,4,3,1,0,1,1,63.4,2
2,7.91,0.5,1,1,13,3,3,1,2,2,2,1,1,38.4,1
1,8.4,1.8,3,0,13,3,3,2,2,0,2,1,1,63.0,2
3,6.66,0.3,4,1,15,4,3,2,2,2,5,0,1,80.9,3
2,8.43,2.8,1,1,14,1,2,1,6,0,1,1,1,80.7,2
2,7.42,4.6,4,0,16,3,4,2,2,1,1,1,1,90.2,3
3,9.02,2.5,3,2,11,0,2,3,1,4,2,1,1,81.1,2
2,8.17,2.6,1,3,16,4,3,3,1,1,1,1,0,73.1,3
3,10.0,3.1,3,3,11,2,2,2,2,1,1,1,1,74.6,3
2,7.64,5.0,3,1,17,6,4,2,2,1,1,1,1,95.3,3
2,7.07,1.5,5,2,17,4,5,2,1,1,0,1,1,73.1,3
2,8.71,4.0,2,1,16,4,3,2,2,2,1,1,1,85.5,3
3,9.04,2.5,3,1,18,3,7,4,1,0,0,1,1,85.0,2
3,8.88,11.9,6,2,17,3,5,3,2,0,2,1,1,98.0,3
2,7.13,0.6,4,2,12,2,5,2,1,0,0,0,1,63.3,2
3,10.0,2.6,3,3,16,8,1,2,1,0,2,0,0,94.1,3
3,8.02,4.0,5,2,13,3,5,2,1,1,2,1,1,82.8,3
2,6.78,2.9,1,3,16,2,6,4,3,0,2,1,1,78.8,3
3,8.14,2.4,1,0,11,3,2,1,1,1,3,1,1,73.6,2
2,9.41,0.9,0,0,13,0,1,2,7,1,1,1,1,59.1,2
2,8.13,0.4,1,2,10,0,2,1,4,0,1,1,1,70.9,1
2,8.73,3.6,2,0,13,3,3,2,1,1,0,0,0,89.0,2
2,9.23,1.3,3,0,10,0,2,2,1,4,0,1,1,60.6,1
3,7.89,4.9,1,2,8,4,1,1,0,0,3,1,1,88.6,3
2,7.98,0.8,0,3,16,0,1,3,2,7,2,0,1,75.7,1
2,8.92,0.4,1,1,13,1,2,1,5,0,1,1,1,68.9,2
2,7.63,1.7,4,0,9,0,1,2,4,0,2,0,1,70.0,2
2,8.43,2.4,0,1,17,3,6,2,3,0,2,0,1,72.7,2
3,8.85,3.8,2,1,18,3,7,4,2,1,2,0,1,94.8,3
2,9.86,0.6,3,1,15,3,4,2,2,0,1,0,1,76.6,1
1,8.46,0.1,1,1,12,2,3,1,1,1,3,1,1,74.0,1
2,8.22,0.4,0,1,12,1,3,1,4,1,0,0,1,54.2,1
2,8.93,3.2,4,0,14,7,1,1,1,0,1,1,1,78.0,3
2,7.79,10.0,3,3,18,0,2,2,2,8,6,1,1,98.0,3
2,7.64,1.6,3,2,12,1,2,2,1,5,2,0,1,62.7,1
4,10.0,0.6,3,1,15,4,5,3,1,0,1,1,1,70.8,2
0,7.46,1.5,4,1,15,2,6,3,1,0,0,1,1,66.2,2
2,9.17,1.3,0,5,14,0,2,2,1,6,1,1,0,68.6,2
2,8.63,8.6,6,2,14,3,3,3,2,1,3,1,1,94.4,3
2,7.28,4.2,2,2,15,4,5,3,1,1,3,1,1,78.2,3
2,8.13,0.7,4,2,17,4,4,3,2,1,2,0,1,65.0,2
3,8.52,1.4,4,1,11,4,2,1,2,1,1,1,1,64.7,3
2,7.37,10.8,4,2,14,4,2,2,1,2,0,1,0,88.6,3
2,8.59,2.8,2,1,11,1,2,2,1,4,2,1,1,75.6,2
3,8.68,0.9,3,3,16,2,7,3,2,0,3,0,0,61.3,2
2,7.75,6.0,5,3,14,2,3,1,2,2,3,0,1,84.2,3
2,8.17,0.0,4,1,15,0,1,3,1,8,3,1,1,74.0,3
0,6.89,0.3,2,0,17,1,2,4,1,6,0,0,1,76.9,2
2,9.56,5.4,2,1,16,1,2,4,1,5,0,1,1,88.6,3
3,9.74,4.7,4,0,12,7,0,2,0,0,2,0,0,81.7,3
2,7.11,1.2,2,2,17,1,2,3,2,8,0,1,1,68.7,2
0,6.62,1.6,3,0,17,0,1,2,2,8,0,0,0,85.8,2
3,10.0,2.3,3,2,16,5,5,3,1,1,2,0,1,77.5,3
2,7.99,2.7,3,2,14,3,6,3,1,0,3,1,1,80.0,2
3,9.33,1.2,3,3,11,1,1,2,1,4,1,1,1,64.4,3
1,6.54,0.9,1,1,13,5,3,3,1,0,0,1,1,79.1,2
2,8.13,4.2,4,4,14,0,1,3,1,5,1,0,1,66.1,3
1,8.35,1.0,3,2,10,5,1,1,0,0,1,0,0,67.3,1
1,9.03,0.4,1,3,18,1,7,2,3,1,2,1,1,65.8,2
1,7.33,1.5,2,2,13,3,2,1,1,2,1,1,1,80.4,2
2,9.48,3.2,6,4,13,1,3,1,5,0,1,1,1,83.8,3
3,9.05,1.8,4,2,15,5,4,3,1,1,2,1,0,81.6,3
2,8.37,3.9,7,2,9,4,1,1,0,0,1,1,0,65.2,3
2,7.28,0.1,3,4,16,6,4,3,2,0,1,1,1,65.9,3
3,8.53,0.9,1,4,14,2,5,2,2,0,3,1,1,66.9,3
1,7.26,0.9,4,0,15,5,3,3,1,1,0,0,1,87.4,2
2,7.51,2.5,8,0,16,3,7,3,1,0,2,1,1,80.2,3
2,8.35,2.3,0,0,16,1,1,4,2,5,0,0,1,79.2,2
2,7.0,0.2,3,2,14,4,2,2,1,1,2,1,1,63.7,1
2,7.82,5.1,2,0,12,0,1,4,2,4,3,1,0,76.1,3
2,7.29,2.0,3,1,13,2,3,1,2,2,1,1,1,56.1,2
2,8.11,1.8,1,1,19,1,2,4,1,7,3,1,1,73.7,3
2,7.16,1.9,2,1,16,3,6,2,3,0,3,0,0,86.4,2
3,7.63,2.9,3,3,19,6,5,2,2,1,2,0,1,74.9,3
2,7.67,0.4,0,1,14,1,4,4,2,0,2,0,1,61.7,1
2,7.2,4.6,4,0,13,4,2,1,2,2,1,1,1,78.7,3
2,9.01,5.1,4,2,15,1,2,2,1,7,2,1,1,86.2,3
2,7.83,1.9,5,1,17,5,5,3,1,1,2,1,1,93.2,3
2,7.65,0.5,2,3,9,6,0,1,1,0,2,1,1,51.4,2
2,6.17,2.3,1,2,10,2,2,1,2,1,1,1,0,85.9,2
2,8.47,2.5,7,2,12,3,3,3,1,1,1,0,1,55.9,3
1,7.8,5.9,5,4,14,9,0,2,1,0,2,1,1,79.3,3
3,9.28,4.8,1,1,17,0,1,3,2,7,0,1,1,74.8,2
2,7.14,7.7,5,1,11,3,3,2,2,0,3,1,0,98.0,3
3,8.64,3.4,5,3,17,1,1,3,1,7,1,1,1,82.7,3
0,4.83,4.3,1,2,13,2,2,1,2,2,0,0,0,77.8,2
4,10.0,0.6,3,3,17,4,5,3,2,1,4,1,1,54.3,3
2,7.46,3.0,3,0,17,3,5,2,2,1,3,1,0,69.8,3
3,7.5,0.9,1,4,13,0,1,3,1,7,2,1,1,71.0,2
2,9.48,2.8,4,5,9,4,0,1,1,0,1,0,1,77.7,2
1,8.36,4.4,3,2,13,3,2,2,2,1,0,0,1,89.5,3
0,7.3,0.4,3,1,10,5,2,1,1,0,2,1,1,54.4,2
2,9.77,0.2,0,1,14,3,3,3,1,0,1,1,1,62.5,1
2,8.24,2.9,1,1,10,2,2,2,1,1,0,1,1,75.5,2
2,8.89,1.3,2,1,16,9,0,2,1,0,4,1,0,90.5,2
3,9.83,2.1,2,0,14,6,1,2,1,0,1,1,0,77.2,2
3,8.15,2.0,1,2,14,7,2,2,1,0,1,1,1,73.4,2
2,9.12,0.8,3,0,10,0,1,2,5,0,1,1,1,72.6,2
2,7.56,4.5,1,1,14,3,4,3,3,0,2,1,1,91.4,2
2,8.59,1.8,1,1,15,4,2,2,2,1,3,0,1,69.6,2
1,8.33,0.9,5,1,20,5,5,3,2,1,2,0,0,80.6,2
2,7.18,0.6,5,0,10,2,3,1,1,1,1,0,0,84.6,1
2,7.37,10.0,7,0,13,4,2,1,2,2,3,1,1,97.7,3
2,7.79,3.3,1,1,12,8,0,1,1,0,2,1,1,69.5,2
3,8.38,0.3,8,0,18,5,4,2,2,1,2,1,0,92.0,3
2,8.09,0.3,2,3,13,3,2,2,2,2,0,0,1,62.2,2
2,8.95,0.8,3,1,14,4,2,2,1,2,5,1,1,68.4,3
2,7.6,0.0,1,1,13,5,3,3,1,0,0,1,1,60.4,1
1,5.88,0.9,2,2,17,2,7,4,2,0,3,1,0,80.4,1
2,7.3,0.5,1,2,20,6,5,3,1,1,2,1,1,68.8,3
2,7.14,12.0,8,3,15,0,1,4,1,7,3,1,1,98.0,3
3,9.14,7.3,5,2,18,2,6,2,3,1,4,0,1,98.0,3
1,7.54,0.0,4,0,12,1,1,2,1,4,1,0,0,68.4,2
3,9.36,0.4,1,3,12,4,3,1,1,2,3,1,1,78.5,3
1,6.89,3.7,3,0,14,8,1,2,1,0,0,0,1,94.0,1
2,6.9,6.1,2,2,13,3,3,2,2,2,3,1,0,89.4,3
2,7.28,3.1,2,3,17,5,4,3,2,0,0,1,1,87.2,2
3,9.5,7.3,5,3,11,4,3,2,1,0,3,1,1,86.0,3
1,9.5,0.2,1,1,16,0,1,2,1,8,4,0,1,87.3,2
3,8.76,3.6,3,0,16,6,3,3,1,0,1,1,1,87.5,3
3,7.91,4.2,4,3,15,4,4,2,1,0,1,0,1,87.8,3
3,6.95,9.3,3,1,12,3,3,1,2,2,3,0,0,93.7,3
2,8.61,4.2,3,1,13,4,3,2,1,1,4,1,1,74.3,3
1,8.36,7.1,4,0,10,0,2,1,5,0,1,0,0,76.5,3
2,6.96,1.3,2,1,12,4,4,2,1,0,2,1,0,51.5,1
3,9.77,4.3,1,1,12,4,3,2,1,0,0,1,1,84.9,2
2,6.72,1.3,2,1,14,0,1,1,7,1,1,1,1,78.5,2
2,7.1,6.0,3,1,16,5,4,2,1,0,0,1,0,98.0,3
2,7.06,0.6,5,0,16,2,5,4,2,0,5,1,1,66.4,2
2,8.79,3.6,2,2,14,3,5,2,2,0,1,0,1,74.5,3
3,6.47,2.0,1,4,10,4,2,1,1,0,1,1,0,65.9,2
2,8.22,1.2,1,0,13,2,3,2,1,1,2,0,1,80.1,2
1,7.89,1.2,1,0,15,5,4,2,2,1,1,1,0,70.6,1
3,8.77,2.0,4,2,12,7,2,1,1,0,1,0,0,83.3,2
3,7.88,1.5,1,4,15,0,2,4,1,5,1,1,1,70.2,3
2,7.12,2.9,1,1,7,4,0,1,1,0,1,0,0,79.8,2
2,7.36,0.8,0,1,14,0,3,2,7,1,2,0,1,64.9,1
1,8.37,6.9,2,2,17,1,2,3,1,7,0,1,1,98.0,3
3,7.72,1.0,1,3,15,4,4,3,1,0,2,1,1,80.2,3
2,7.51,2.0,2,1,16,5,5,2,1,1,1,1,1,60.9,2
2,8.65,1.4,1,1,13,3,3,2,2,0,3,0,0,81.4,1
3,9.19,7.0,6,3,14,0,1,1,7,1,0,1,1,87.9,3
3,7.93,8.7,5,1,17,6,5,3,1,1,0,1,1,98.0,3
3,8.52,1.8,3,1,13,1,1,2,2,6,2,0,0,80.6,2
0,7.97,0.3,2,3,11,0,2,1,5,0,3,0,1,65.5,2
3,7.4,0.2,3,0,11,2,3,1,1,2,2,0,1,69.9,1
2,7.25,0.4,3,1,13,3,3,2,2,2,2,0,1,79.2,2
3,8.2,2.8,2,4,14,2,3,2,2,2,2,0,1,73.7,3
1,7.93,7.0,5,2,10,0,1,1,5,0,0,1,0,69.2,3
0,6.65,0.5,0,0,13,2,4,3,1,1,1,0,1,86.2,0
0,7.48,5.7,2,1,14,0,1,2,7,0,1,1,1,71.4,3
2,8.97,0.6,1,0,16,3,6,4,1,1,0,0,1,73.6,1
3,6.7,10.6,4,3,15,1,2,4,1,6,3,1,1,98.0,3
2,9.65,0.3,1,1,17,9,1,2,1,0,2,0,1,67.9,1
2,7.7,0.6,0,1,12,2,2,2,1,2,1,1,0,61.0,0
3,7.86,4.7,3,3,7,4,1,1,0,0,1,1,1,94.2,3
2,7.86,3.8,4,2,16,1,6,4,2,0,2,1,0,85.8,3
3,9.05,6.0,6,0,9,1,1,1,4,1,0,1,1,69.5,3
2,8.08,1.8,2,2,15,1,6,2,2,1,0,1,1,86.6,3
3,8.83,1.0,1,1,17,2,5,3,3,0,3,0,1,95.5,3
0,7.35,1.1,4,0,16,0,1,3,2,6,0,1,1,72.7,2
2,9.38,5.7,9,2,13,0,3,1,5,0,2,1,1,85.1,3
2,8.5,1.7,1,1,12,5,0,2,1,0,1,0,1,67.6,1
2,7.35,0.2,7,0,10,2,2,2,1,1,3,1,0,71.4,3
2,10.0,1.5,7,1,14,8,1,1,0,0,1,1,1,85.9,2
2,8.95,6.5,3,1,13,4,3,1,2,1,1,1,1,80.1,3
2,8.41,4.3,5,1,10,2,2,2,1,2,0,1,0,94.6,2
3,8.3,2.2,2,2,14,3,3,2,1,1,1,0,0,80.3,2
2,7.11,2.2,0,1,16,3,5,2,2,0,3,1,1,89.3,2
2,7.91,0.2,7,0,17,2,5,4,2,0,1,1,1,77.5,2
1,9.25,1.1,1,0,18,2,7,2,2,1,1,1,0,95.1,2
3,6.79,2.3,3,1,13,2,3,2,2,1,3,1,1,70.9,2
3,8.52,0.1,0,3,14,1,5,3,2,1,6,1,1,63.5,2
2,6.85,5.9,5,1,12,0,2,4,1,4,2,0,1,79.7,3
2,8.18,8.2,3,2,12,4,2,2,2,1,0,1,1,98.0,3
2,8.57,6.3,3,1,17,3,5,3,2,0,2,1,1,97.5,3
2,9.06,1.3,1,1,15,2,6,3,1,0,0,1,1,88.5,1
2,8.76,4.1,7,3,10,3,3,1,1,1,2,0,1,80.7,3
3,8.48,1.0,2,0,10,6,2,1,0,0,3,0,1,61.0,1
0,7.74,0.0,3,1,15,3,2,2,2,2,0,0,0,73.2,3
2,8.42,1.2,2,3,13,3,4,4,1,0,1,1,1,76.2,2
2,9.13,2.1,2,1,13,4,3,2,1,2,1,1,1,66.2,2
2,8.53,4.2,3,1,16,0,2,2,2,7,1,1,1,98.0,3
3,7.62,0.4,3,0,13,2,5,4,1,0,1,1,1,76.1,2
3,8.49,1.6,4,4,7,0,1,1,4,0,1,0,1,67.6,3
2,8.35,0.3,0,4,14,1,2,3,2,4,2,1,1,76.7,3
2,7.48,2.5,3,0,13,5,2,2,1,0,0,0,1,74.4,2
3,8.2,0.3,1,3,14,4,4,2,1,1,1,1,0,83.6,2
2,8.92,8.3,2,0,11,2,2,2,1,1,2,1,0,92.7,3
2,9.7,1.0,2,0,12,0,2,2,2,5,0,1,1,68.3,2
2,6.41,0.2,4,0,14,2,4,3,3,1,2,1,1,76.9,2
2,8.93,0.7,2,3,12,4,3,2,1,1,3,1,1,62.2,2
4,8.97,0.9,2,1,15,3,3,1,2,2,5,0,1,98.0,2
1,7.74,1.9,5,1,11,0,3,1,5,1,2,0,1,67.9,3
3,7.69,6.9,4,3,13,4,4,2,1,0,3,1,0,89.5,3
3,7.98,0.1,2,2,18,1,2,4,1,8,0,0,0,89.9,2
2,7.16,2.9,5,2,14,4,3,3,2,0,0,1,1,67.5,3
2,8.92,11.6,4,0,11,1,4,3,1,1,1,1,1,97.5,3
1,8.63,1.9,4,1,17,0,2,4,1,6,1,1,1,80.8,2
0,7.2,3.3,0,0,9,0,1,2,4,1,1,1,1,74.3,2
2,8.76,10.7,1,0,14,1,1,2,6,0,3,0,1,98.0,3
2,8.7,3.9,2,2,12,0,1,4,1,5,2,1,1,88.6,3
3,8.68,4.4,1,0,12,0,1,2,2,6,0,1,1,70.0,2
4,9.33,2.6,1,2,18,1,2,2,2,7,5,1,1,84.5,3
2,8.49,2.7,2,4,13,0,1,4,1,4,0,1,1,83.7,3
2,8.56,1.8,3,1,15,3,5,4,1,0,4,1,0,61.0,2
2,5.56,6.1,2,2,14,4,3,1,1,2,3,1,0,88.8,3
3,7.74,5.7,3,2,14,7,1,2,0,0,1,1,1,93.7,3
3,7.35,2.1,3,3,15,0,1,3,1,8,2,0,1,89.7,3
3,7.44,0.7,7,1,9,3,2,1,1,1,0,0,1,52.8,3
3,8.01,0.4,2,3,8,2,2,1,1,1,4,0,1,77.8,2
3,8.26,0.7,3,2,13,3,2,1,2,2,2,1,0,71.0,2
1,6.81,0.5,1,0,8,5,0,1,1,0,1,0,0,74.4,1
2,9.5,5.2,3,2,16,2,6,3,1,1,0,0,1,97.7,3
2,7.26,0.4,2,0,16,4,2,2,2,2,3,0,1,61.5,2
2,10.0,2.0,0,0,18,2,7,3,2,1,2,1,1,72.6,3
2,8.72,1.5,2,3,14,4,5,3,1,0,2,1,1,43.8,2
3,7.58,12.1,6,1,18,1,2,3,2,6,6,1,1,98.0,3
2,8.41,0.5,2,1,13,4,2,1,1,2,2,1,1,71.3,2
2,7.22,0.2,3,1,10,2,2,1,2,1,2,1,1,55.1,2
3,7.34,0.5,2,2,11,0,2,2,1,5,2,1,1,65.7,1
4,8.19,6.0,2,1,14,2,3,2,2,1,3,1,0,88.1,3
2,7.6,0.9,3,1,19,3,7,4,1,0,3,0,1,81.4,2
0,6.74,2.5,1,2,16,1,6,4,3,1,0,1,1,80.8,2
3,7.52,2.0,6,0,18,3,6,3,3,1,0,1,1,91.7,3
3,7.8,1.2,4,3,16,9,2,1,1,0,2,1,1,68.4,2
2,8.72,2.1,5,1,17,5,3,3,2,1,2,0,1,85.0,2
3,8.8,1.5,4,1,12,4,3,2,2,0,2,1,1,71.2,2
0,8.87,0.6,1,1,12,7,0,2,1,0,1,1,0,69.8,1
2,7.48,5.9,6,0,14,3,4,2,1,1,1,1,1,83.9,3
2,7.86,1.0,3,2,9,0,1,1,6,0,3,0,1,53.5,1
3,7.88,1.2,5,1,12,3,3,2,1,1,1,1,1,66.8,2
2,8.58,5.4,2,0,17,1,2,4,1,7,3,0,0,91.9,3
0,6.79,0.1,4,1,13,2,3,2,2,2,0,0,1,70.1,1
2,8.89,0.1,2,0,13,7,2,2,1,0,0,1,1,53.9,1
2,8.34,2.0,2,3,11,0,3,1,4,0,3,0,0,56.0,3
2,6.48,0.1,2,1,13,7,1,2,0,0,0,0,1,67.4,2
2,6.8,1.0,4,0,13,1,6,2,2,1,3,1,1,55.4,2
2,8.26,2.9,3,1,15,4,3,1,2,2,2,1,0,77.9,3
2,6.96,1.2,2,2,13,3,2,1,2,1,0,0,1,59.0,2
3,7.67,1.2,4,1,14,1,5,3,3,0,7,1,1,67.2,2
2,6.91,1.1,3,1,12,2,4,3,1,0,0,1,0,69.7,2
3,10.0,2.3,6,1,10,6,0,2,1,0,5,0,1,71.0,3
2,8.29,2.5,5,2,11,0,2,1,6,0,1,1,0,78.1,2
1,7.87,0.1,1,0,18,6,5,2,1,0,1,0,0,70.1,0
3,9.12,1.8,5,3,17,3,7,2,1,1,2,1,0,88.0,3
2,8.61,1.6,2,3,13,1,1,2,1,6,2,1,1,89.8,2
2,8.8,1.3,1,4,13,1,4,3,2,0,3,0,0,65.2,2
2,8.31,4.0,4,0,18,2,7,4,2,1,1,1,1,98.0,3
2,7.61,4.4,3,1,18,6,5,3,2,0,2,1,0,97.8,3
2,7.37,6.3,6,2,10,6,0,1,0,0,2,1,1,64.9,3
2,8.25,3.7,1,2,15,1,1,3,2,7,1,1,0,85.8,3
2,8.35,2.5,0,2,15,3,3,2,2,1,3,0,1,79.0,1
3,6.7,5.1,5,2,15,5,3,2,2,0,1,0,1,89.6,3
2,7.32,1.6,1,2,11,2,2,1,2,1,2,0,1,57.6,2
3,9.15,2.2,5,0,13,3,3,1,2,1,2,1,1,56.8,3
2,7.0,0.5,2,2,9,2,2,1,2,1,1,0,1,62.1,0
4,7.37,0.5,2,3,12,3,3,2,1,2,2,1,1,68.5,2
3,9.24,6.3,4,3,12,6,1,2,1,0,2,1,1,69.1,3
3,8.11,0.8,1,1,13,4,3,2,1,1,3,1,1,52.7,2
3,9.46,2.8,3,4,14,0,2,4,2,5,3,1,1,77.9,3
